               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.055492,             0.17398,            0.026484,             0.86338,             0.14283,              0.1511,            0.065125,            0.054708,             0.13688,            0.036345,           0.0095717,           0.0095717,           0.0095717
                  37,            0.053316,             0.17401,            0.027023,             0.86029,             0.15014,             0.15001,            0.066726,            0.053575,             0.13834,            0.036059,           0.0095473,           0.0095473,           0.0095473
                  38,            0.053133,             0.16977,            0.026809,             0.66004,             0.20223,             0.14748,             0.06429,            0.053864,             0.13639,            0.036415,           0.0095223,           0.0095223,           0.0095223
                  39,            0.053709,             0.17032,            0.026608,             0.86536,             0.14451,             0.15401,            0.065952,            0.054727,             0.13896,            0.036078,           0.0094966,           0.0094966,           0.0094966
                  40,            0.053902,             0.17185,            0.027146,             0.66218,             0.20058,              0.1572,            0.067503,             0.05435,              0.1403,            0.035941,           0.0094703,           0.0094703,           0.0094703
                  41,            0.053507,             0.17038,            0.026297,             0.67082,             0.19781,             0.15647,            0.068982,            0.053898,             0.13973,            0.036923,           0.0094434,           0.0094434,           0.0094434
                  42,            0.053245,             0.16732,             0.02577,             0.65976,             0.20309,              0.1549,            0.068084,            0.053806,             0.13577,            0.036187,           0.0094158,           0.0094158,           0.0094158
                  43,            0.052733,             0.17336,            0.025507,             0.66473,             0.21504,             0.15972,            0.069705,            0.054042,             0.13631,            0.035963,           0.0093877,           0.0093877,           0.0093877
                  44,            0.052578,             0.17009,            0.026097,              0.8701,             0.13694,             0.15376,            0.068287,            0.054217,             0.13959,            0.036907,           0.0093589,           0.0093589,           0.0093589
                  45,            0.052075,             0.16826,            0.025929,             0.69489,             0.17993,             0.15894,            0.068307,            0.054228,             0.13815,             0.03663,           0.0093295,           0.0093295,           0.0093295
                  46,            0.052072,             0.16755,            0.026104,             0.67636,             0.18721,              0.1541,            0.068652,            0.053661,             0.13909,            0.036038,           0.0092995,           0.0092995,           0.0092995
