               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 160,            0.043704,             0.14841,            0.016883,             0.51502,             0.17545,             0.12682,            0.055929,            0.056296,             0.16088,            0.049457,           0.0036353,           0.0036353,           0.0036353
                 161,            0.043458,             0.14654,            0.016037,             0.52375,             0.16192,             0.12513,            0.055224,            0.056219,             0.15953,            0.050661,            0.003584,            0.003584,            0.003584
                 162,            0.043395,             0.14703,            0.016204,             0.49956,             0.16695,             0.12203,            0.053159,            0.056443,             0.15834,            0.051011,            0.003533,            0.003533,            0.003533
                 163,            0.043467,             0.14725,            0.016109,             0.51837,             0.17192,             0.12359,            0.052697,             0.05672,             0.16126,            0.051088,           0.0034823,           0.0034823,           0.0034823
                 164,            0.043497,             0.14831,            0.016536,             0.38467,             0.21554,             0.12407,            0.054629,            0.056497,             0.15983,            0.051386,           0.0034319,           0.0034319,           0.0034319
                 165,            0.043399,             0.14814,            0.016574,             0.31938,             0.27378,             0.13337,            0.056717,            0.057074,             0.16043,            0.048898,           0.0033818,           0.0033818,           0.0033818
                 166,            0.042988,             0.14587,            0.015956,             0.31419,             0.24573,             0.12939,            0.055376,            0.057136,             0.16315,            0.049893,           0.0033321,           0.0033321,           0.0033321
                 167,            0.043716,             0.14805,            0.016261,             0.49933,             0.19312,              0.1246,            0.053975,            0.056524,             0.15917,            0.049037,           0.0032827,           0.0032827,           0.0032827
                 168,            0.043087,             0.14661,            0.016143,             0.51627,             0.17212,             0.11904,             0.05094,            0.057565,             0.16199,            0.050763,           0.0032337,           0.0032337,           0.0032337
                 169,            0.043547,             0.14792,            0.015912,             0.30602,             0.26336,              0.1288,            0.055776,            0.056186,             0.16113,            0.051445,            0.003185,            0.003185,            0.003185
